鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路121~150號,21.24,商,,,1090218,土地1建物1車位2,十九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050307.0,314.14,4,2,2,有,有,43000000,166069.0,坡道平面,85.32,5000000,,RPVOMLRKMHPFFBA68CA
萬華區,房地(土地+建物)+車位,臺北市萬華區青年路152巷1~30號,45.63,住,,,1090318,土地4建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103.0,213.45,4,2,2,有,無,28500000,133521.0,坡道平面,0.0,0,,RPVQMLQJNHPFFBA78CA
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街81巷1~30號,15.93,住,,,1090307,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071105.0,118.11,2,2,1,有,有,15840000,169340.0,坡道平面,35.21,1800000,,RPQNMLLKNHPFFBA57CA
松山區,房地(土地+建物)+車位,臺北市松山區光復北路11巷61~90號,19.91,住,,,1090319,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780810.0,163.24,3,2,2,有,有,29800000,182553.0,坡道平面,40.87,0,,RPQOMLQKMHPFFDA28CA
松山區,房地(土地+建物),臺北市松山區健康路151~180號,6.11,住,,,1090226,土地3建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670720.0,59.57,1,1,1,有,有,11580000,194393.0,,0.0,0,含增建或未登記建物。;,RPVQMLQKMHPFFDA98CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,38.13,住,,,1090229,土地1建物1車位2,十四層，見其他登記事項,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030619.0,288.07,0,0,0,無,有,38500000,133648.0,坡道平面,0.0,0,含增建或未登記建物。;,RPXNMLQKMHPFFEA98CA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,60.68,住,,,1090305,土地1建物1車位3,二十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051005.0,555.43,4,2,4,有,有,215000000,387094.0,坡道平面,118.89,0,,RPQNMLNKNHPFFFA18CA
中山區,房地(土地+建物),臺北市中山區復興北路271~300號,13.59,商,,,1090222,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720309.0,104.11,3,2,2,有,有,25600000,245894.0,,0.0,0,含增建或未登記建物。,RPWTMLKMMHPFFCA98DA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路五段420巷1~30號,22.23,住,,,1090307,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870925.0,134.87,2,2,2,有,有,23600000,174983.0,坡道平面,0.0,2500000,含增建或未登記建物。,RPVRMLLLMHPFFCA68DA
松山區,房地(土地+建物),臺北市松山區南京東路五段151~180號,18.29,其他,,,1090309,土地1建物1車位0,九層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,991112.0,243.97,4,2,2,有,有,69000000,282822.0,,0.0,0,,RPPOMLRKMHPFFDA38DA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.16,住,,,1090226,土地4建物1車位1,十二層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910.0,169.92,3,2,2,有,有,52800000,383203.0,坡道平面,39.18,2700000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQPMLKLMHPFFFA08CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段181~210號,20.15,住,,,1090227,土地4建物1車位1,七層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080910.0,176.17,3,2,2,有,有,53800000,389293.0,坡道平面,45.42,2900000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUPMLKLMHPFFFA48CA
大安區,房地(土地+建物),臺北市大安區信義路三段134巷61~90號,22.85,住,,,1090323,土地1建物1車位0,三層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750415.0,117.67,2,2,2,有,有,26880000,228435.0,,0.0,0,含增建或未登記建物。;,RPOOMLRKMHPFFFA38CA
