鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺中市北區博館路65巷9弄1~30號,31.53,住,,,1090306,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0811022,136.35,3,1,1,有,有,5100000,37404,,0.0,0,,RPQPMLOKMHPFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區東山路二段中興巷19弄1~30號,226.31,住,,,1090312,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841016,275.03,6,2,3,有,有,9600000,34905,,0.0,0,,RPUPMLOKMHPFFBB48CA
北屯區,房地(土地+建物),臺中市北屯區太祥路241~270號,20.4,住,,,1090307,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000603,110.96000000000001,4,0,4,有,有,5450000,49117,,0.0,0,,RPPNMLPKMHPFFBB87CA
北屯區,土地,東光段421~450地號,116.0,其他,,,1090316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9872986,85112,,0.0,0,包含公共設施保留地之交易。;,RPXPMLPKMHPFFBB88CA
北屯區,房地(土地+建物),臺中市北屯區景美巷1~30號,64.0,住,,,1090324,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0620401,49.68,1,1,1,有,無,6160000,123994,,0.0,0,,RPPQMLPKMHPFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區江興街31~60號,123.0,住,,,1090316,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0610209,114.06,4,2,2,有,無,17500000,153428,,0.0,0,含增建或未登記建物。;,RPPQMLQKMHPFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區昌平路二段金谷巷61~90號,27.39,住,,,1090314,土地2建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790209,123.05000000000001,3,2,2,有,有,6000000,48761,坡道機械,0.0,0,含增建或未登記建物。;,RPUPMLRKMHPFFBB78CA
北屯區,房地(土地+建物)+車位,臺中市北屯區景賢六路1~30號,16.93,商,,,1081223,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961231,127.65,3,2,2,有,有,7850000,61496,坡道機械,0.0,0,,RPPNMLSKMHPFFBB18CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北西街61~90號,14.43,商,,,1070622,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081121,158.85,3,2,2,有,有,10130000,72021,坡道平面,35.83,1270000,,RPVNMLKLMHPFFBB08CA
北區,房地(土地+建物),臺中市北區衛道路211~240號,1.98,住,,,1090304,土地2建物1車位0,一層，地下層,五層,其他,商業用,鋼筋混凝土造,0741211,10.06,0,0,0,無,無,250000,24851,,0.0,0,,RPTOMLKLMHPFFBB97CA
