鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
岡山區,房地(土地+建物),高雄市岡山區前峰路63巷10弄1~30號,136.0,住,,,1090313,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0791005,223.43,6,2,4,有,無,11580000,51828,,0.0,0,含增建或未登記建物。;,RPSOMLMLMHPFFFE78CA
岡山區,土地,信義段31~60地號,17.08,住,,,1090325,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1550000,90749,,0.0,0,,RPVNMLSLMHPFFFE96CA
梓官區,土地,茄苳段121~150地號,1845.32,,一般農業區,農牧用地,1090302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10844500,5877,,0.0,0,,RPRNMLLJNHPFFFE38CA
永安區,土地,復興段271~300地號,96.77,,鄉村區,乙種建築用地,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,15501,,0.0,0,親友、員工或其他特殊關係間之交易。;賣清,RPXNMLSLMHPFFFE17CA
左營區,房地(土地+建物)+車位,高雄市左營區文萊路301~330號,11.72,商,,,1090127,土地1建物1車位1,二十五層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071225,210.35000000000002,3,2,2,有,有,20500000,101435,坡道平面,25.01,1700000,,RPRNMLSKNHPFFEE09CA
左營區,房地(土地+建物)+車位,高雄市左營區文萊路301~330號,11.76,商,,,1090229,土地1建物1車位1,二十七層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071225,211.32999999999998,3,2,2,有,有,20900000,103049,坡道平面,25.01,1700000,,RPSNMLSKNHPFFEE56CA
左營區,房地(土地+建物)+車位,高雄市左營區文萊路301~330號,11.72,商,,,1081222,土地1建物1車位1,二十四層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071225,216.2,3,2,2,有,有,20950000,100685,坡道平面,25.01,1700000,,RPTNMLSKNHPFFEE66CA
左營區,房地(土地+建物)+車位,高雄市左營區文萊路301~330號,11.72,商,,,1081214,土地1建物1車位1,二十層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071225,218.59,3,2,2,有,有,20600000,97634,坡道平面,25.01,1700000,,RPRNMLTKNHPFFEE56CA
左營區,房地(土地+建物)+車位,高雄市左營區文萊路301~330號,11.57,商,,,1081215,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071225,214.39,3,2,2,有,有,20350000,99535,坡道平面,25.01,1500000,,RPSNMLTKNHPFFEE66CA
岡山區,土地,信義段31~60地號,27.19,住,,,1090309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2466000,90695,,0.0,0,,RPUNMLMLMHPFFFE88CA
