鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龍潭區,土地,金龍段271~300地號,37833.44,,山坡地保育區,窯業用地,1090115,土地37建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000000,14537,,0.0,0,,RPSNMLLJNHPFFCH48CA
龍潭區,房地(土地+建物),桃園市龍潭區德林路121巷36弄1~30號,83.42,,鄉村區,乙種建築用地,1090327,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701212,75.0,2,2,2,有,無,3200000,42667,,0.0,0,三樓增建2房,RPPQMLTLMHPFFCH76CA
龍潭區,土地,梅龍段1021~1050地號,187.02,,一般農業區,農牧用地,1090403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850000,15239,,0.0,0,,RPPNMLRLMHPFFCH88CA
大溪區,土地,介壽段451~480地號,2457.0,,鄉村區,乙種建築用地,1090116,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,111480000,45372,,0.0,0,,RPUOMLLLMHPFFCH88CA
龍潭區,土地,和原段2011~2040地號,43.02,,山坡地保育區,丙種建築用地,1090408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1880000,43701,,0.0,0,,RPSNMLMLMHPFFCH68CA
龍潭區,土地,金龍段91~120地號,86.98,,山坡地保育區,農牧用地,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,526000,6047,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTNMLMLMHPFFCH78CA
龍潭區,房地(土地+建物),桃園市龍潭區中豐路上林段477巷1~30號,81.61,,一般農業區,甲種建築用地,1090323,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720625,142.72,4,2,2,有,無,4700000,32932,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLMLMHPFFCH88CA
大溪區,房地(土地+建物),桃園市大溪區埔頂路一段357巷928弄31~60號,93.48,,特定農業區,甲種建築用地,1090406,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080726,197.32,4,2,3,有,無,12980000,65781,,0.0,0,,RPSNMLKLMHPFFCH48CA
大溪區,房地(土地+建物),桃園市大溪區埔頂路一段357巷928弄31~60號,92.12,,特定農業區,甲種建築用地,1090327,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080726,194.31,4,2,3,有,無,13000000,66903,,0.0,0,,RPTNMLKLMHPFFCH58CA
龍潭區,房地(土地+建物),桃園市龍潭區中豐路高平段123巷45弄1~30號,61.06,,山坡地保育區,丙種建築用地,1090212,土地1建物3車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840610,113.03,3,2,3,有,有,2800000,24772,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQPMLRKMHPFFCH09CA
中壢區,房地(土地+建物)+車位,桃園市中壢區龍慈路181~210號,34.24,住,,,1090311,土地1建物1車位1,十二層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071203,219.92000000000002,3,2,2,有,有,13800000,62750,坡道平面,33.01,0,,RPTPMLLKNHPFFBH78CA
中壢區,房地(土地+建物)+車位,桃園市中壢區忠孝路168巷1~30號,24.51,住,,,1090322,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050719,175.76999999999998,3,2,2,有,有,10600000,60306,坡道平面,37.52,0,,RPRNMLRLMHPFFBH98CA
中壢區,房地(土地+建物)+車位,桃園市中壢區永裕路1~30號,24.89,住,,,1080615,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081220,152.61,3,2,2,有,有,9900000,70173,坡道平面,25.78,1000000,親友、員工或其他特殊關係間之交易。;,RPXPMLSLMHPFFBH27CA
中壢區,房地(土地+建物)+車位,桃園市中壢區永裕路1~30號,25.35,住,,,1080602,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081220,154.36,3,2,2,有,有,10400000,73106,坡道平面,25.78,1000000,親友、員工或其他特殊關係間之交易。;,RPOQMLSLMHPFFBH09CA
中壢區,房地(土地+建物)+車位,桃園市中壢區永裕路1~30號,25.35,住,,,1080819,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081220,156.18,3,2,2,有,有,10550000,74143,坡道平面,28.05,1050000,,RPQQMLSLMHPFFBH66CA
中壢區,房地(土地+建物)+車位,桃園市中壢區三光路181~210號,13.06,住,,,1090308,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960125,123.09,3,2,2,有,有,7500000,60931,坡道平面,0.0,0,陽台外推,RPOPMLTLMHPFFBH09CA
觀音區,房地(土地+建物),桃園市觀音區文化路石橋段625巷160弄17衖1~30號,93.94,,特定農業區,甲種建築用地,1090311,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1080708,259.13,5,3,4,有,無,12980000,50091,,0.0,0,,RPSNMLPLMHPFFBH88CA
中壢區,土地,興南段公坡小段211~240地號,24.77,其他,,,1090218,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1105050,44612,,0.0,0,,RPQNMLQLMHPFFBH78CA
中壢區,土地,青芝段61~90地號,157.46,住,,,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21434000,136123,,0.0,0,,RPSPMLKMMHPFFBH68CA
中壢區,土地,青芝段61~90地號,157.46,住,,,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21434000,136123,,0.0,0,,RPXPMLKMMHPFFBH56CA
中壢區,土地,青芝段61~90地號,157.46,住,,,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21434000,136123,,0.0,0,,RPPQMLKMMHPFFBH48CA
中壢區,土地,青芝段61~90地號,157.46,住,,,1090115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21434000,136123,,0.0,0,,RPQQMLKMMHPFFBH58CA
觀音區,房地(土地+建物),桃園市觀音區吉祥街1~30號,20.19,,工業區,丁種建築用地,1080407,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090102,77.97,3,1,2,有,無,3330000,42709,,0.0,0,,RPQNMLPJNHPFFBH58CA
觀音區,房地(土地+建物),桃園市觀音區吉祥街1~30號,20.09,,工業區,丁種建築用地,1081223,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090102,79.52000000000001,3,1,2,有,無,3280000,41247,,0.0,0,,RPRNMLPJNHPFFBH68CA
中壢區,房地(土地+建物),桃園市中壢區三和三街1~30號,17.07,住,,,1090314,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820526,83.72,6,1,6,有,有,4950000,59126,,0.0,0,含增建或未登記建物。;,RPOPMLOJNHPFFBH48CA
中壢區,房地(土地+建物)+車位,桃園市中壢區東芝路一段121~150號,19.4,,特定農業區,甲種建築用地,1090401,土地2建物1車位1,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080307,92.78,2,2,2,有,有,5800000,62513,坡道平面,0.0,0,,RPSPMLOJNHPFFBH88CA
觀音區,土地,草富段421~450地號,338.86,住,,,1090313,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15800000,46627,,0.0,0,,RPROMLLJNHPFFBH38CA
中壢區,車位,桃園市中壢區後寮二路241~270號,0.0,,,,1090320,土地0建物0車位1,,,其他,,,,27.86,0,0,0,有,有,400000,,坡道平面,27.86,400000,,RPUQMLMLMHPFFBH09CA
中壢區,房地(土地+建物),桃園市中壢區中福路475巷1~30號,98.0,農,,,1090310,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0630502,70.81,5,2,2,有,無,7600000,107329,,0.0,0,增值稅255866由買方負擔，連同增值稅買方購屋共支付7855866,RPPVMLLLMHPFFBH98CA
中壢區,房地(土地+建物),桃園市中壢區合定路1~30號,2215.0,,工業區,丁種建築用地,1090227,土地2建物1車位0,一層，二層，地下層,二層,工廠,見其他登記事項,鋼筋混凝土造,0721231,740.82,0,0,0,無,無,174000000,,,0.0,0,,RPTQMLLLMHPFFBH88CA
中壢區,房地(土地+建物),桃園市中壢區興仁路一段162巷1~30號,27.25,住,,,1090306,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720819,88.76,2,2,1,有,無,2750000,30982,,0.0,0,含增建或未登記建物。;,RPTOMLKLMHPFFBH58CA
中壢區,房地(土地+建物),桃園市中壢區後龍街32巷2弄1~30號,36.99,住,,,1090228,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0651207,60.9,2,2,2,有,無,3050000,50082,,0.0,0,含增建或未登記建物。;,RPVNMLLLMHPFFBH78CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民權路四段451~480號,57.52,住,,,1090217,土地3建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041012,310.25,4,2,2,有,無,22850000,80699,坡道平面,56.84,2400000,,RPRRMLKLMHPFFBH68CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民權路四段451~480號,57.19,住,,,1081129,土地3建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041012,309.42,4,2,2,有,無,20630000,72175,坡道平面,56.84,2400000,,RPWRMLKLMHPFFBH56CA
中壢區,土地,大路段631~660地號,69.87,農,,,1090327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1138000,16287,,0.0,0,,RPXQMLRKMHPFFBH17CA
中壢區,房地(土地+建物),桃園市中壢區金鋒四街50巷1~30號,10.13,其他,,,1090312,土地1建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930706,91.72999999999999,2,1,1,有,有,4380000,47749,,0.0,0,,RPRTMLRKMHPFFBH86CA
觀音區,房地(土地+建物),桃園市觀音區吉祥街65巷61~90號,18.03,,工業區,丁種建築用地,1090308,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081017,70.89,2,1,1,有,有,3530000,49795,,0.0,0,,RPWQMLQKMHPFFBH96CA
中壢區,房地(土地+建物),桃園市中壢區民族路六段230巷1~30號,371.1,工,,,1090305,土地1建物1車位0,一層，二層，三層，地下層,三層,廠辦,見其他登記事項,鋼筋混凝土造,0800601,923.95,0,0,3,有,無,43500000,47080,,0.0,0,,RPSNMLRKMHPFFBH98CA
